,title,company,place,industries,job_function,seniority_level,description
50,Python/ Odoo Developer,TLTEK,"Ho Chi Minh City, Vietnam",,,,"['We need your talents to join our team and build Odoo ERP solutions.\xa0     Responsibilities  Design, develop and maintain Odoo ERP modules to meet requirements. Support and improve application deployment process. Contribute to overall solution design.     Qualifications  Computer Science degree or related fields. Strong Python development background. One year experience with Odoo is a plus. Experience with ERP is highly preferred.     Offer package  Competitive salary up to $1500. 13th month salary and occasional bonuses. Annual salary review. Annual leaves and other benefits as existing laws. Work life balance; Team building, annual staff outing. Working hour: Onsite from 09:00-18:00 (Mon-Fri) including 1 hour break with complimentary lunch. Office: Block 17/II Street No. 2F - Industrial Zone, Vinh Loc A Ward, Binh Chanh District, HCMC. (Close to Tan Binh/ Tan Phu Dist.). Show more Show less']"
51,"Data Scientist, TNSL Data Platform",TIKI,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Internet Publishing,Engineering and Information Technology,Entry level,"['In TikiNOW Smart Logistic (TNSL), we sharply focus on providing solutions for fulfillment & delivery - the two critical pieces inside Tiki end-to-end ecommerce ecosystem. We aim for best-in-class services with efficiency in our Warehouse processes, Supply Chain and Cost management. We believe in growing a sustainable business with strong fundamentals, data-driven & advanced optimizations to enable all of those.  As a member of the Data Platform team, our mission is to build up the platform of data that enables people to make decisions & take actions with data-driven. Our work involves in areas such as finance, inventory management, fulfillment, delivery or even after-sale service to enable teams across the organizations to build up analytical products & advanced optimizations solutions. Our goal is to help maximize the value of each domain contributed to the customer & company.  We are looking for Data Scientists to stand together with us and take responsibility for building AI models to solve our problem in demand forecasting and delivery / pick path optimization. And since we are just at the beginning of the road, you can let your imagination run free. We encourage everyone to dare to try new things and even make some mistakes, after all, it is all part of life and learning.  Responsibilities:  Develop clever algorithms and pragmatic solutions to our automation and optimization problems. Build high accuracy machine learning models that can learn and optimize performance from vast amounts of data. Develop metrics to measure the outcome/impact of your introduced solutions. Work with other members to implement and integrate into our existing systems. Document and improve the solutions over time. Evaluate and identify new technologies for implementation. Communicate with our business and technical teams to understand the analytics requirements. Respond and follow up to incorporate feedback and draw new insights. Prioritize tasks to meet multiple deadlines.  Why you will want to work here:  We are constantly iterating! There is no such best proposal for anything, no fastest API, no best machine learning models. We design, build, test, ship, and optimize, and test. Just a stream of improvements and tests. We have a data-driven mindset, every point of changes must be tested to gain insights into its impacts on key metrics. It‘s a long process, but over time, we gradually learn and become confident in our approach. We love ""best practices"". Serving important features with high throughput always give us a hitch to research and apply best practices. Any experiment or optimization is always welcomed. We are both independent and open. We own our products. Technical problems would be discussed internally, but for difficult one, we could request other‘s help.  Requirements:  Good mathematical and statistical background. Strong problem solving skills with an emphasis on product development. Analytical mind and business acumen. Experience using statistical computer languages (Python, SQL, etc.) to manipulate data and draw insights from large data sets. Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. Strong experiences with ML/DL frameworks such as Scikit-learn, Tensorflow, Torch, etc... is a must. In particular, must be fluent in converting research papers into production-ready codes. Show more Show less']"
52,Software Engineer,Dwarves Foundation,Vietnam,,,,"['DWARVES FOUNDATION APPRENTICESHIP 2022     Dwarves Foundation is an innovative tech firm. We build and ship top notch software to resolve business problems through impactful tech solutions.     Dwarves Foundation Apprenticeship 2022\xa0is a\xa06-month fully paid work-study-train program\xa0designed primarily to provide mid-level and above software engineers with splendid software development practices, strong professional skills, and work ethics.     Opening to mid-level software engineers anywhere.     Program details: https://careers.d.foundation/apprenticeship-2022     Opening until\xa0Apr 25, 2022: https://form.typeform.com/to/LfCWfoml     Dwarves Apprenticeship 2022 is built for the young professionals who:     ▪️ Have at least 1 year of experience as a software engineer  ▪️ Look for full time & fully paid apprentice positions  ▪️ Seek for an environment to upgrade tech skills & make top-notch software  ▪️ Build up teamwork mindset & fine-tune soft skills  ▪️ Ready to figure out the next moves in their software career  Show more Show less']"
53,Artificial Intelligence Engineer,HTI Group,"Quận Nam Từ Liêm, Hanoi, Vietnam",,,,"[""We are looking for suitable candidates for the position of AI Engineer who can research and develop artificial intelligence application solutions for different business fields of HTI Group. You will have the opportunity to work with different types of AI topics such as: Computer Vision, Data Analytics, Face Recognition, Speech Recognition, Word Processing, etc. You also have the opportunity to learn and gain experience from experts in the AI field.  \xa0  *JOB DESCRIPTION  Research and develop models and algorithms for Machine learning, AI, Deep learning... Test AI programs; Build and complete infrastructure data, make development plans for artificial intelligence; Collaborate with other departments to complete and ensure progress when researching and applying AI; Report and evaluate the operation of AI models; Research and implement data processing methods: Collect, analyze, clean, standardize data. Perform training for the AI model; Collaborate with other departments to deploy the system for customers;  \xa0  *JOB REQUIREMENTS  Bachelor's degree in Information Technology, Computer Science, Engineering, Information Systems, Computer Engineering, Mathematics,... In-depth study of AI through certificate training programs, self-study ... Experience in one or more areas of AI, such as: Machine Learning, Computer Vision, Image Processing, Natural Language Processing, Audio Processing, etc. Good at the latest research and technology in Artificial Intelligence; Experience in building AI models on platforms like Keras, TensorFlow or Theano. Good at one of programming languages: Python, C++, C#, Java (Python is preferred) Communicate technical concepts effectively to non-technical audiences At least 02 years of experience working in real AI projects Other characteristics: proactive, responsible in work, teamwork.  \xa0  *BENEFITS  Salary: Up to 35 million + Bonus High remuneration package, full social insurance, health insurance & unemployment insurance Travel 1-2 times/year and enjoy other benefits according to labor law; Work in a well-equipped, professional IT environment and IT community; To be trained and/or mentored by leading Vietnamese and foreign technology experts.  \xa0  *LOCATION AND CONTACT INFORMATION  Location: Floor 12-VP2, Sun Square Building, No. 21 Le Duc Tho, My Dinh 2 Ward, Nam Tu Liem District, Hanoi City Contact person: Ms. Ngat: (+84) 374.541.876 Mail: tuyendung@htigroup.vn  \xa0  Show more Show less""]"
54,Data Scientist Lead (Cloud) - Very attractive Salary - HN & HCMC,HCL Vietnam,"Hanoi, Hanoi, Vietnam",IT Services and IT Consulting,Information Technology,Mid-Senior level,"['ABOUT US  HCL Vietnam - part of HCL Technologies Global HCL Technologies is a multinational technology company which has offices in 50 countries, over 159,000 employees and its customers include Fortune 500 and 650 of the Global 2,000 companies. As of July 2020, HCL technologies had a consolidated annual revenue of USD 10Billion. The firm just entered Vietnam from 2021 and aims to recruit more than 3,000 locals – spanning graduates and experienced professionals – over the next 3 years.     Vision us: https://www.hcltech.com/     Position: Data Scientist Lead (Cloud)  Location: Ha Noi, Ho Chi Minh     DUTY & RESPONSIBILITIES  • Identify valuable data sources and automate collection processes  • Undertake preprocessing of structured and unstructured data  • Analyze large amounts of information to discover trends and patterns  • Build predictive models and machine-learning algorithms  • Combine models through ensemble modeling  • Present information using data visualization techniques  • Propose solutions and strategies to business challenges  • Collaborate with engineering and product development teams     MAIN REQUIREMENTS  Must have:  • At least 8 - 10 years of working experience in total and at least 5 years as a Data Scientist  • Hands-on-experience and excellent skill sets in solving business problems, designing and  implementation  • Expertise in using Programming languages – Python  • Working Knowledge and application experience in advanced statistical techniques and concepts including  o Forecasting algorithms: ARIMA, SARIMA, SARIMAX, SES  o Data mining techniques  o Classification/Regression/Clustering Methods: Decision trees, Linear/Logistic Regression, XGboost, k-Means, DB scan, …  o Optimization Techniques  o Deep Learning algorithms: CNN, RNN, Transfer based Learnings  • Experience in ML/DS on a cloud environment (AWS/GCP/Azure)  • Experience in Agile solutions implementations  • Experience in ML/Data science storytelling  • Working E2E ML project lifecycle experience  • Ability to use English well (from 750 Toeic)     Nice to have:  • Experience in Retail/Manufacturing Industry to build Optimization models, Market Mix Models, Forecasting, Price Elasticity, Assortment  • Experience in Azure Cloud, (Azure) Event Streams, HD Insights, Data Lake, SQL Server, SQL Data Warehouse, Azure Synapse Analytics  • Experience with Python libraries such as Pandas, NumPy, Statsmodels, Scikit-learn, Keras,  TensorFlow, Theano, PyTorch, Prophet, Pyspark  • Exposure working in Azure Platform providing unlimited storage for structured, semi-structured or unstructured data to be used for Data Processing AI/ML.  • Experience in GCP is a plus  • Ability to use English and Japanese well (from N2 JLPT)     BENEFITS  • Attractive package including base salary + 13th month salary + Performance Bonus.  • Insurance based on full base salary and Medical Benefit (Bao Viet Insurance Package) for  Employee and Family  • 100% of full salary and benefits as an official employee from the 1st day of working  • 100% salary during probation time  • Working in a fast paced, flexible, and multinational working environment with opportunity to travel onsite (in 49 countries)  • Internal Training (Technical & Functional & English)  • Working with outstanding colleagues coming from top universities and top companies in Vietnam and foreign countries  Show more Show less']"
55,Economic Game Designer,Ubisoft,Da Nang Metropolitan Area,Entertainment Providers,Production,Mid-Senior level,"[""You have a passion for paving the road for crypto-based gaming economies and have experience with the traditional F2P economies. You will use economics, behavioral psychology, and business intelligence methodologies to design an healthy play-to-earn game economy. The Economic Designer will be responsible to design and managing all systems that will encourage the player to invest in a game to enhance his experience.    Your main\xa0responsibilities\xa0will be to:    Design, prototype, balance, and champion the economic systems to increase our main game KPIs – Retention, Engagement, Monetization, Virality, on game & platform level. Recommend rewards and monetization game features to create an economic system to fulfill player needs Contribute to game features/systems design that compels and re-engage players Collaborate with game designers on new game features to maximize short and long-term player engagement, and provide for monetization opportunities Manage the economy and pricing of virtual goods; balance free content vs. paid currency in the game economy Balance player experience and progression, both in skills, in-game progression, and content release pacing. Request detailed data analysis from the games we operate to validate design choices & drive the development of the upcoming feature/balancing Produce reports highlighting through data the problematics of the games & recommend next steps/adjustments/new features to further improve KPIs Knowledge of macro, microeconomics, pricing theory, and statistics, especially in the mobile gaming industry and/or live service-oriented products, with the ability to model problems into quantitative systems, formulate ratios and indexes specific to each game Keep up to date with market trends and do proactive analysis of economy tuning in relevant competitive products Ability to model and simulate planned changes, overall sinks, and sources while anticipating downstream effects with post-launch analysis to ensure expected outcomes are reached   Qualifications   An avid gamer with a strong understanding of mobile games (online, multiplayer, social, F2P), while a solid knowledge about the endless possibilities of blockchain and NFT Extremely robust logical and analytical thinking with the ability to abstract and decompose complex systems and identify key relationships and levers that influence the outputs Detail-oriented and capable of providing specific solutions at each step of the process Advanced understanding of Excel, SQL, and/or Python Design by data approach Strong problem-solving skills Strong communication skills (oral and written)   Additional Information    Why it's great to work at Ubisoft Danang:    An international, professional, collaborative, modern, and creative environment Attractive remuneration package Performance rewards Creative & endless fun projects Unlimited access to Ubisoft games on Uplay Flexible working time Premium healthcare insurance UBIVERSARY for your working milestones Team building, Lunar New year Celebration, Projects celebration Beers and treats every Friday\xa0 (yay!) Staff clubs Free in-house entertainment facilities (PS5…), coffee, tea, and fresh fruits\xa0 Show more Show less""]"
56,PYTHON DEVELOPER (HCM),FPT Telecom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",IT Services and IT Consulting,Business Development,Not Applicable,"['CHI TIẾT CÔNG VIỆC Tham gia phát triển backend các dự án về E-commerce, Logistics, CMS. Xây dựng hệ thống tương tác với lượng người dùng lớn Tham gia trao đổi, đóng góp ý kiến xây dựng hệ thống CSDL. Tham gia phát triển phần mềm theo kiến trúc microservice. Phát triển và tối ưu hiệu năng cho các module xử lí dữ liệu với thời gian thực. Phối hợp với các thành viên khác trong nhóm (phía Frontend) để thiết kế, triển khai các yêu cầu. Thực hiện các công việc khác theo yêu cầu của Trưởng bộ phận. Nghiên cứu các giải pháp công nghệ trên thị trường để áp dụng vào dự án hoặc sản phẩm mới YÊU CẦU CÔNG VIỆC Nam/Nữ tốt nghiệp Cao đẳng/ Đại học trở lên chuyên Ngành công nghệ thông tin. Thành thạo ngôn ngữ lập trình Python. Biết Golang là một lợi thế. Có kinh nghiệm làm việc với các hệ cơ sở dữ liệu : MySQL, MongoDB. Có kinh nghiệm làm việc với RESTful API. Có hiểu biết về các kiến trúc phát triển phần mềm : Microservices, Monolithic. Thành thạo công cụ quản lý mã nguồn Git. Viết tài liệu cho API. Có kinh nghiệm làm việc với Kibana, Elasticsearch, Kafka, và các công cụ CI/CD. Có khả năng tư duy, làm việc nhóm. Có khả năng giao tiếp tốt. Có khả năng đọc hiểu các tài liệu tiếng Anh. Thích tìm hiểu, nghiên cứu các công nghệ lập trình mới. Khả năng tư duy, làm việc nhóm. QUYỀN LỢI Gói thu nhập năm tương đương từ 14 - 18 tháng lương quy đổi (Thưởng lương tháng 13, lương kinh doanh,...). Đầy đủ các chế độ theo luật lao động hiện hành. Được làm với dự án có số lượng user lên đến hàng triệu và được tham gia vào các bài toán lớn. Chính sách phúc lợi theo quy định của Công ty đa dạng: Chăm sóc sức khỏe định kì hàng năm; Gói bảo hiểm sức khỏe chuyên biệt (FPT Care – Khám chữa bệnh miễn phí tại tất cả các bệnh viện); Các hoạt động tri ân, chăm lo đời sống tinh thần CBNV và Thân nhân... Môi trường làm việc thân thiện, cởi mở, trẻ trung. Cơ sở vật chất và công cụ làm việc hiện đại, tiện nghi. Nhiều cơ hội phát triển và thăng tiến không giới hạn. Văn hóa Doanh nghiệp đặc sắc, sinh động bậc nhất với nhiều các hoạt động hấp dẫn: tân binh, 72 giờ trải nghiệm, teambuilding, thi trạng, hội làng, hội diễn Sao Chổi, sinh nhật FPT, ngày 08/03, ngày 11/11,... Hưởng các gói ưu đãi cước khi sử dụng dịch vụ của FPT Telecom. NƠI LÀM VIỆC- 130 đường 40, phường Tân Phong, Quận 7, TP HCM Show more Show less']"
57,Junior Front-end Developer,AirCity,"Ho Chi Minh City, Vietnam",,,,"[""**Responsibilities:**  - Build and develop app features on given requirements, collaborate with other team to develop and continuously improve new features. - Understand the product, constantly optimize the performance, identify and fix problems, improve stability and user experiences.  **Requirements:**  - A degree of Computer Science, Software Engineer/ Information Technology or experiences in related fields. - At least 1+ years of professional experience with React Native or Cross-platform mobile development. - Willing to improve our mobiles app's UX for customer. - Demonstrate solid knowledge of pure JavaScript and TypeScript. - Strong at HTML/CSS. - Knowledge and experience of state management libraries like Redux, Saga. - Solid understanding of Class Component, Function Component, Hooks. - Experience with Mobile app development (iOS and Android). - Effective communication and teamwork skills, particularly ability to work in squad to ensure delivering project on time in full. - High learning agility and real passion for coding and programming, innovation, and solving challenging problems to improve mobile app's UX for customers. - High adaptability and flexibility to the rapid changes of the business. - High responsibility and diligence.  **Benefits**  - Attractive salary according to ability - Bonus base on performance and project, Yearly Review. - Annual leave, insurance according to labor law. - Young, dynamic start-up environment with knowledgeable and experienced leaders. - Be trained advanced skill. - Fun activities: Happy birthday, Year end party, Happy hour, Company Trip, Sport,... - Birthday and holiday gifts, coffee, tea, snack,... Show more Show less""]"
58,"AI Engineer, Kobiton","KMS Technology, Inc.","Ho Chi Minh City, Ho Chi Minh City, Vietnam",IT Services and IT Consulting,Engineering and Information Technology,Entry level,"['The responsibility includes but not limited: * Study and transform data science prototypes * Design and develop machine learning systems * Research and Implement appropriate ML algorithms * Perform statistical analysis and fine-tuning using test results * Train and retrain system * Extent existing ML libraries if necessary * Follow given procedures and instructions to produce well-designed, testable and clean code * Perform other duties as assigned * 3+ years of experience in developing machine learning/data science application * Strong experience in computer vision * Strong programming skills in Python, Javascript * Good foundation in math and algorithms * Have knowledge of Neural Networks * Experience in using ML frameworks such as Tensorflow/ Keras/PyTorch... /Perks you Enjoy at KMS/ * Working in one of the Best Places to Work in Vietnam * Building large-scale & latest technology software products * Working & Developing with Passionate & Talented Team * Attractive Salary and Benefits * Flexible working time * Premium health care insurance for you and your loved ones * Company trip in every summer, big annual year-end party every year, team building, etc. * Fitness & sports activities: football, tennis, table-tennis, badminton, yoga, swimming... * Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,... * Free in-house entertainment facilities (football, ping pong, boxing, gym...), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies...) And much more, join us and let yourself explore other fantastic things! Show more Show less']"
59,ML Ops Engineer,Chợ Tốt,"Ho Chi Minh City, Vietnam",IT Services and IT Consulting,Engineering and Information Technology,Mid-Senior level,"['At Cho Tot, we rely on powerful data to power our systems and make data-driven solutions. Being a part of our Data Science team, you will have the opportunity to apply your knowledge, build it into real AI applications on production, solve business problems and help empower millions of Vietnamese daily lives.  As a ML Ops Engineer, you will be responsible for building, operating and optimizing the next generation of Chotot’s ML Product, Platform, and Infrastructure. You will have the power to lead your initiatives geared towards making the ML Engineers and Applied Data Scientists at Chotot more productive. You will have the power to improve and extend the underlying infrastructure that powers the ML teams, thus simplifying the development and deployment cycles of ML models.     Responsibilities  Apply relevant modern technology to build, deploy and integrate ML models to Chotot’s product, directly improve end-user experiences and engagement Responsible for the full cycle of ML product development including collecting data, training, deploying to production, observing quality and performance of ML services Design, build infrastructures, toolings, and standards to accelerate Machine Learning development, improve time to production of ML models Set up CT/CI/CD infrastructure for ML development Responsible for managing the infrastructure of your ML pipelines using different toolings such as Kubeflow, Airflow, MLflow, GCP Vertex AI… Own the technical stacks with comprises all ML resources and manage ML infrastructure cost Collaborate with other teams, stakeholders to build and realize ideas into impactful applications     Requirements  Have +2 years experience in software engineering development with machine learning services that scale to millions of users Practical experience in building ML infrastructure and setting up observabilities for ML services Understanding of data structures, data modeling, and software architecture; familiar with machine learning framework (Keras, Pytorch) Experience with Docker, Kubernetes, ML CI/CD workflow Expertise in Python with experience in bash shell scripts, UNIX utilities Practical working experience with GCP cloud technologies (AI Platform, Vertex AI, GKE, Cloud Run, Cloud Function) Strong verbal and written communication skills, with a high level of comfort explaining complex technical topics to stakeholders Strong background in software engineering and computer science.     Thank you for taking your time to read our job description and thank you in advance if you decide to apply for this position. Shortlisted candidates will be contacted within 2 weeks since application, otherwise we might meet when another chance arises.  Show more Show less']"
60,"Python Developer (Django, PosgreSQL)",Multi:IT A/S,"Ho Chi Minh City, Vietnam",,,,"['Job Description  In charge of programming, error checking & reporting for project manager Participate in projects belongs to Transport & Logistics Participate in developing IoT project on Python, and other technologies     Job Requirements  Experienced working with Python\xa0frameworks such as:\xa0Django Experienced working with Linux operating system is a must. Very good knowledge in Python\xa0and Web Front-end technologies like\xa0HTML5, CSS3, JavaScript Strong knowledge of PostgreSQL, PostGIS, Object oriented design, Websocket, and Fabfile. At least 3 years of working experience in the related field is required for this position. Experience with IoT project or AWS is a big plus. Graduated from College, University with IT major Good communication skill, especially in English.     Thinking ability  Ability to work independently & teamwork Can learn new technology quickly Good analytical requirements Good ability to create & summarize reports     Quality  Professional working style On time Consistency Responsibility     Benefits  Negotiation salary depends on candidate’s ability Flexible working time 24 days annual leave     Show more Show less']"
61,Senior Data Scientist,Liberty Mutual Insurance,"Ho Chi Minh City, Vietnam","Capital Markets, Insurance, and Financial Services",Engineering and Information Technology,Mid-Senior level,"[""Senior Data Scientist     Job Summary:  Predictive Modeling is seeking a highly motivated Senior Data Scientist who is eager to make an impact on the complex and evolving insurance industry. The Predictive Modeling team is responsible for applying sophisticated predictive modeling and analytical analysis to a broad range of business problems; communicating the results of their work to stakeholders; and providing guidance and peer oversight to other modeling groups. You will leverage primary data, advanced quantitative modeling and financial analysis to develop predictive models and analytical tools that enable data-driven strategic decision-making. This role requires broad knowledge of predictive analytics techniques and advanced application of those techniques to a variety of business issues. You will provide highly technical analytical assessments of business issues to a mixture of technical and non-technical audiences.     Responsibilities:  Collaborate with other business partners to develop appropriate statistical approaches and tools that will drive strategic decision making related to reserving, trends, and other challenging problems central to our business. Research, recommend, and implement new and/or alternative statistical and other mathematical methodologies appropriate for the given model or analysis. Perform highly complex, technical, and creative predictive analytics projects. Manage and prioritize multiple moderate-to-highly complex projects including gathering business requirements, developing project goals and requirements, coordinating project timelines, and communicating project status and deliverables with customers and management. Understand the competitive marketplace, business issues, and data challenges to deliver actionable insights, recommendations, and business processes. Present findings, share insights, and make recommendations that impact profitability, growth and/or customer satisfaction. Effectively communicate results in written, oral and presentation formats.  The actual internal level/grade for this role will depend on the candidate’s overall experience and skill level.  Qualifications:  Master's degree or higher in Mathematics, Economics, Statistics or any other quantitative field or comparable actuarial education/designation preferred; plus a minimum of 3 to 5 years of relevant work experience. Advanced analytical/problem solving and research skills. Proficient in predictive analytics including real-world experience in model development, validation, and testing. Proficient with at least one language for data analysis, such as R, Python or SAS. Experience with large analysis datasets and Enterprise-scale database systems. Experience with statistical techniques including generalized linear models, survival models, random forests, clustering, and Bayesian approaches to data analysis. Strong verbal and written communication skills, interpersonal skills, and ability to clearly and effectively communicate technical results to a non-technical business audience. Knowledge of insurance principles, underwriting and ratemaking concepts and the various functions of an insurance organization, including Finance, Underwriting, Sales and Claims desirable. Ability to perform high-level work both independently and collaboratively as a project team member or leader.  Show more Show less""]"
62,Senior Machine Learning Engineer,Axon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Software Development,Engineering,Mid-Senior level,"['Join Axon and be a Force for Good.  At Axon, we’re on a mission to Protect Life. We’re explorers, pursuing society’s most critical safety and justice issues with our ecosystem of devices and cloud software. Like our products, we work better together. We connect with candor and care, seeking out diverse perspectives from our customers, communities and each other.  Life at Axon is fast-paced, challenging and meaningful. Here, you’ll take ownership and drive real change. Constantly grow as you work hard for a mission that matters at a company where you matter.  We are an equal opportunity employer that promotes justice, advances equity, values diversity and fosters inclusion. We’re committed to hiring the best talent — regardless of race, creed, color, ancestry, religion, sex (including pregnancy), national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, genetic information, veteran status, or any other characteristic protected by applicable laws, regulations and ordinances — and empowering all of our employees so they can do their best work. If you have a disability or special need that requires assistance or accommodation during the application or the recruiting process, please email recruitingops@axon.com. Please note that this email address is for accommodation purposes only. Axon will not respond to inquiries for other purposes.  Your Impact  Are you passionate about AI? Do you love engineering solutions enabling fast, cutting-edge science? Are you eager to contribute to building products impacting the world for the greater good?  As a ML Engineer at Axon, you will contribute to architecting and implementing the platform used by Axon scientists to transform the public safety space. Collaborating closely with other engineers, you will enable new AI capabilities for Axon products (Fleet, Axon Body, Axon Air, and more) by supporting the training, evaluation, testing and deployment of machine learning models. As part of a multidisciplinary team, you will be exposed to a wide range of domains and applications: from Automatic License Plates Recognition to Object Tracking and Automatic Speech Recognition.  The ideal candidate will have a consistent track record of successfully leveraging and managing large-scale distributed platforms for secure and compliant data-processing. They will understand the AI lifecycle and be capable of supporting scientists along the creation and management of large scale compliant datasets, leading to better and more responsible AI solutions. They are willing to be bold and stand up to support the team in enabling features transforming the life of officers, and driving a positive impact in the public safety space.  What You’ll Do   Architect, develop and manage the infrastructure to ingest, curate and prepare large-scale datasets to train ASR, ALPR and OR models. Deliver novel, strategic solutions to increase our datasets size while limiting the budget impact. Deliver novel, strategic solutions to improve the diversity and fairness of Axon datasets and models. Collaborate with science and product teams to align platform investments with science and products needs and ensure the success of new AI-powered features. Impact the team by bringing their own expertise and deep knowledge of the state-of-the-art to introduce new techniques leading to tangible impact in terms of model fairness, performance, and platform scalability.   What You Bring   Bachelor’s Degree in Computer Science, Engineering, Physics, Mathematics or an equivalent highly technical field. 3-5+ years of software engineering experience and a proven track record of successfully architecting and maintaining large-scale distributed platforms. Experience managing sensitive data, implementing compliant and secure solutions for data-processing. Experience serving data for Business Intelligence services or machine learning. Proficiency in python, familiarity with ML frameworks such as TensorFlow, Keras, PyTorch. Advanced knowledge and hands-on experience with major cloud environments (such as AWS, Microsoft Azure and Google Cloud). Excellent problem solving skills and ability to dive into system architecture, design, performance metrics, code, test plans, project plans, deployments and operations Comfort communicating and interacting with scientists, engineers and ML/product managers.   Benefits That Benefit You   An awesome office/working environment with the latest technologies Competitive salary and benefits including a great medical insurance plan for you and your family Free lunch, gym, phone stipend, parking Fun team activities and outings Flexible working hours Opportunities for training and rotations in the US Opportunities to ride along with real US police officers in real life situations, see them use technology, and get inspired   NOTE: The above job description is not intended as, nor should it be construed as, exhaustive of all duties, responsibilities, skills, efforts, or working conditions associated with this job. The job description may change or be supplemented at any time in accordance with business needs and conditions.  Some roles may also require legal eligibility to work in a firearms environment. Show more Show less']"
63,Senior Data Scientist,MoMo (M_Service),"Ho Chi Minh City, Vietnam","IT Services and IT Consulting, Software Development, and Financial Services","Engineering, Information Technology, and Project Management",Mid-Senior level,"[""MoMo is the market leader in mobile payments in Vietnam. We strive to make all transactions fast, easy and joyful. At MoMo, we are making Machine Learning the core component to almost every part of the product - product recommendation, personalization, risk scoring, fraud detection and promotion targeting. As a Data Scientist expert, you will have a unique opportunity to have a high impact by building these systems, as well as uncovering new opportunities to apply Machine Learning to impact millions of users.  Responsibilities  Building Machine Learning models using your core expertise. Collaborate with Product and Business to define the Machine Learning product, focus on Personalization and Financial Services. Collecting, cleaning, preparing data at large scale for modeling. Adding new features, exploring new approaches to keep pushing the model performance. Participating in productionizing Machine Learning models for live production. Designing, conducting A/B tests and analyzing the results for experiment insights. Building pipelines for continuously validating and updating models. Coaching and providing support for other junior members.  What we are looking for  4 years working experience with 2 years hands-on with ML. Good understanding of mathematical foundations of Machine Learning algorithms. Have practical experience in applying Machine Learning in personalization, credit scoring or user behavior analysis. A builder. You go the extra mile to bring your prototypes to production. Strong product ownership. You take a high responsibility for what you build. You keep a high bar for product quality. Strong collaboration skills. You reach out to help other team members. Experience with credit scoring or financial service models is a plus. If you are looking for a place to grow your career and impact millions of people, MoMo might be just the right place for you.  Our benefits:  Attractive compensation & benefits. 13th month salary bonus and yearly performance bonus. 14 paid days off per year Premium health care insurance Great allowances (lunch, parking, birthday, happy hours....) Salary review at least one time per year based on employee's performance and contribution. Outing/team-building activities (company trip , soccer sport, english club, running club,..). Other benefits as per stated in Vietnamese Labor Law Work with experienced & strong team. Friendly, dynamic & flexible working environments. Show more Show less""]"
